ID;10
Name;Entfernung dynamischer Objekte mittels Removert 
Beschreibung;Als Nutzer*in möchte ich das externe Programm 3DTK People Remover verwenden können, um dynamische Objekte aus den Daten zu entfernen.
Akzeptanzkriterium;Dynamische Objekte werden mittels 3DTK People Remover sichtbar aus den Daten entfernt.
Geschätzter Aufwand (Story Points);8
Entwickler*in;Severin Pelikan, Greys Fankyeyeva
Fertiggestellt in Iteration;6
Tatsächlicher Aufwand (h);46,5
Velocity (Story Points/h);0,17
Bemerkungen;Removert konnte in diesem Anwendungsfall keine zufriedenstellenden Ergebnisse liefern, darum wurde die User Story nicht ins endgültige System übernommen. 
